title,location,Price,category
El Cactus,Ţāb Kirā‘,37,"['International', 'Mexican', 'Jordanian']"
Knafa & Nutailla,Amman,85,['Desserts']
Abu Al Asal Juicies & Cocktails,Al Khuraybah,93,"['Beverages', 'Juices']"
Dalleh & Saj,Ţāb Kirā‘,40,"['Fast Food', 'Shawarma & Doner', 'Sandwiches ']"
Semiramis,Ad Dimnah,61,"['Speciality Store', 'Pastries & Sweets']"
Nihao,Al Maşţabah,62,"['Chinese', 'Seafood']"
Saya Pastries,Shūnat Nimrīn,62,"['Breakfast', 'Pastries']"
7kayet Al Rabieh Butchery,Al Qasţal,83,"['Speciality Store', 'Fresh Meat & Fish']"
Adan For Crepe & Waffle,Sowayma,96,['Desserts']
Zahir Flowers,Kerak,58,['Flowers']
Habet Zatar,Ajloun,33,"['Pastries', 'Pizza']"
Saj Mahal,Ajloun,46,"['Shawarma & Doner', 'Snacks']"
Al-Kafarneh,Umm al Kundum,78,"['Shawarma & Doner', 'Sandwiches ']"
Ain Karem Restaurant,Kerak,30,"['Arabic', 'Egyptian', 'Falafel']"
YK Shawarma & Snack,Al Burj,43,"['Shawarma & Doner', 'Snacks', 'Fast Food']"
Al Meidan Grills,Māḩiş,46,"['Arabic', 'Grills', 'Jordanian']"
Crunchy Chicken,Umm Qays,93,"['Fried Chicken', 'International', 'Jordanian']"
Hunger Grill,Kufayrāt Abū Khīnan,65,"['American', 'Burgers']"
Shaki Burger,Shūnat Nimrīn,73,"['American', 'Burgers', 'Shawarma & Doner', 'Snacks', 'Sandwiches ']"
Jaleela,Kerak,49,"['Sandwiches ', 'Shawarma & Doner']"
Barbacoa,Al Khuraybah,71,['Mexican']
Casper Pastries,"Abdoun, Amman",56,"['Breakfast', 'Pastries', 'Arabic']"
Tamryet Hamzeh,Wadi Rum,47,['Desserts']
Oshaq Al Mandi,Aqaba,58,"['Mandi', 'Arabic', 'Yemeni']"
Al Ghota AL shamieh Pastries,Al Ḩayy,23,['Pastries']
Army Burger,Māḩiş,23,"['Burgers', 'International', 'Sandwiches ']"
Eat Fresh,Ţāb Kirā‘,51,"['Speciality Store', 'Fruits & Vegetables']"
Alaa Aldeen Alhasan Restaurant,Aqaba,24,"['Shawarma & Doner', 'Sandwiches ']"
Jawhart Alsharq Sweets,Madaba,20,['Desserts']
Sugar Cube,Ajloun,86,"['Desserts', 'Beverages']"
Happy Dose,Al Khuraybah,44,"['Juices', 'Desserts']"
Al-Sa'a bakery and sweets,Amman,61,"['Speciality Store', 'Bread & Bakery']"
Bake 'N' Cake Jubeiha,Al Kafrayn,61,['Desserts']
99 Ninety Nine,Al Rama,18,"['Burgers', 'Fast Food', 'Snacks']"
Bibim,Al Azraq ash Shamālī,83,['Asian']
Flafel W Saj,Amman,96,"['Arabic', 'Falafel', 'Snacks']"
Dowar Al Bahrye Pastries,Sowayma,56,"['Pastries', 'Pizza']"
JO.LION,Ma‘ān,64,['Burgers']
Waynes Coffee,Al Qasţal,57,"['Speciality Store', 'Coffee & Tea']"
My Garden Flowers & Plants,Kerak,44,['Flowers']
PappaRoti,Dana,58,"['Beverages', 'Desserts']"
Taj Al Mandi,Al Kafrayn,88,"['Mandi', 'Arabic', 'Yemeni']"
Zuwwadeh Restaurant,Al Rama,87,"['Arabic', 'Lebanese', 'Salads']"
karak delights (karak chapatti and tea),Amman,68,"['Snacks', 'Desserts', 'Indian']"
falafel amo abu omar,Ad Dimnah,99,"['Arabic', 'Falafel', 'Sandwiches ']"
Al Tawaheen Sweets,Al Khuraybah,10,['Desserts']
Salad Boutique,Az Zarqa,46,"['Healthy', 'Salads']"
Abu Al Asal Juicies & Cocktails,Wadi Musa,72,"['Beverages', 'Juices']"
Ocean Restaurant,Umm Uthainah,100,"['Lebanese', 'Salads', 'Seafood']"
Peri Peri,Az Zarqa,14,"['Healthy', 'International', 'Grills']"
Kol W Thana Restaurant,"Abdoun, Amman",94,['Shawarma & Doner']
Pamino Sweets,At-Tafilah,86,['Desserts']
Grill Makers,Az Zarqa,34,"['Burgers', 'Shawarma & Doner', 'Snacks']"
Ahl Al Shawerma,Māḩiş,87,"['Shawarma & Doner', 'Fried Chicken', 'Grills']"
Wing`d,At-Tafilah,92,"['American', 'International']"
Alarz Roastery,Madaba,84,"['Speciality Store', 'Nuts & Dried Fruit']"
Raghad Cake,Irbid,86,"['Bakery and Cakes', 'Desserts']"
Al-Kafarneh,‘Ayn Amūn,76,"['Shawarma & Doner', 'Sandwiches ']"
Elegant,Ţāb Kirā‘,13,['Speciality Store']
Bhar W Asrar Kitchen,Māḩiş,42,"['Arabic', 'Jordanian']"
Amigo,Al Rama,67,"['Burgers', 'Salads']"
Sweet Soul,Umm Uthainah,74,['Desserts']
Sirop,Jerash,92,"['Shawarma & Doner', 'Jordanian', 'Burgers']"
The Q Coffee House,Kufayrāt Abū Khīnan,61,"['Beverages', 'Juices']"
Oven Pan,Shūnat Nimrīn,72,['Desserts']
Snackanji,Ad Dimnah,66,"['American', 'International', 'Pizza']"
Jaleela,Umm Uthainah,94,"['Sandwiches ', 'Shawarma & Doner']"
Helium Flowers And Balloons,Ash Shumaysānī,76,['Flowers']
Mr Saj,Bayyūḑah,23,['Shawarma & Doner']
Raw,Bayyūḑah,91,"['Salads', 'Thai', 'American', 'Arabic', 'Healthy Water']"
Loli Restaurant,Madaba,70,"['Grills', 'Snacks', 'Sandwiches ']"
Talet El Marj Kitchen,Al Rama,11,"['Arabic', 'Grills', 'Seafood']"
JoJo Shawerma,Amman,38,"['Seafood', 'Jordanian', 'Arabic']"
Steakanji,Dana,23,"['American', 'Snacks', 'Steaks']"
Al Fatira Al Thaeba,Ajloun,81,"['Breakfast', 'Pastries', 'Pizza']"
Abu AL Saeed Grills,Az Zarqa,96,"['Arabic', 'Grills', 'Jordanian']"
Al Amaneh Restaurant,"Abdoun, Amman",45,"['Falafel', 'Arabic']"
Chili Ways,Abū al Lasan,45,"['American', 'Burgers', 'Fast Food']"
Hadaeq Al Sultan Sweets,Al Qasţal,34,['Desserts']
3amo Hamzeh,Jerash,50,"['Shawarma & Doner', 'Sandwiches ']"
Nafish Butchery,Irbid,52,['Arabic']
Pizza w Moajanat Aldwaghreh,‘Ayn Amūn,84,['Pastries']
Nutmeg,"Abdoun, Amman",62,"['Burgers', 'Snacks', 'Beverages']"
Alaa Al Deen,Ash Shūnah ash Shamālīyah,13,"['Arabic', 'Jordanian']"
Chopsticks,Aţ Ţayyibah,64,"['Chinese', 'Asian']"
Ahwaji,Aţ Ţayyibah,61,['Beverages']
Almurjan Snack,Kerak,93,['Snacks']
AlGharabli Butchery,"Abdoun, Amman",39,"['Speciality Store', 'Fresh Meat & Fish']"
Signetch,Bayyūḑah,39,['Sandwiches ']
Koi,Al Qasţal,22,"['Asian', 'Healthy', 'Seafood']"
London Waffle,Umm Qays,97,['Crepes and Waffles']
Siwars & CO,Ash Shūnah ash Shamālīyah,39,['Speciality Store']
Snack House,Al Qasţal,58,"['Sandwiches ', 'Snacks']"
Abu Staif Shawarma & Snack,Ad Dimnah,57,"['Shawarma & Doner', 'Snacks', 'Sandwiches ']"
Candy Land,Al Burj,27,"['Desserts', 'Juices']"
Sandwicheh,Aqaba,46,"['Snacks', 'Sandwiches ']"
Chili House,Al Khuraybah,39,"['Burgers', 'Hot Dogs', 'American']"
Chimney Roll,Jerash,19,"['Desserts', 'Sandwiches ', 'Crepes and Waffles']"
Art Chef Kitchen,Kerak,72,"['American', 'Burgers', 'Fast Food']"
Waffle & Crepe Alshamal,‘Ayn Amūn,24,"['Desserts', 'Crepes and Waffles']"
Almunajed Sweets,"Abdoun, Amman",62,['Desserts']
La Rosa Florsit,Al Kafrayn,66,['Flowers']
Stormz Shawerma,Ad Dimnah,20,['Shawarma & Doner']
Glass 3seer,Ma‘ān,58,"['Crepes and Waffles', 'Juices']"
Abu ALKaram Restaurant,Dana,44,['Shawarma & Doner']
ALasmar Coffee,Wadi Musa,44,"['Arabic', 'Juices']"
Arab Eagles Meat Shop,Dana,39,"['Speciality Store', 'Fresh Meat & Fish']"
Super Chicken,Ash Shūnah ash Shamālīyah,12,"['Fried Chicken', 'Sandwiches ']"
Dens Shawrma,Al Qasţal,77,"['Arabic', 'Shawarma & Doner']"
The Big Slice,Wadi Musa,54,"['Pizza', 'Calzone', 'Italian']"
Alshami Restaurant,Wadi Musa,84,"['Arabic', 'Burgers', 'Shawarma & Doner']"
Wildberry,Jerash,85,"['Breakfast', 'Juices', 'Desserts']"
Falafel Jbara,Ajloun,12,['Arabic']
Zaatar W Zeit Pastries,Irbid,39,"['Manaqeesh', 'Pastries']"
Mekasa Chocolate,Aţ Ţayyibah,94,"['Beverages', 'Desserts']"
Abu Hamoudeh Al Oustoura Restaurant,Al Kafrayn,52,"['Arabic', 'Grills']"
Nashama Al Ordon Restaurant,Ash Shūnah ash Shamālīyah,92,"['Pizza', 'Sandwiches ', 'Arabic']"
3la Kefak,Aqaba,65,"['Fried Chicken', 'Shawarma & Doner', 'Sandwiches ']"
Abu Jbara Alhadeeth,Jerash,35,"['Falafel', 'Sandwiches ', 'Jordanian']"
Nur Malaysia Amman,Dana,87,['Asian']
Tashwiha,Ajloun,77,"['Burgers', 'Shawarma & Doner', 'Sandwiches ']"
Asli,Al Qasţal,33,"['Juices', 'Beverages']"
Kareem & Karam Rastaurant,Umm al Kundum,41,"['Arabic', 'Shawarma & Doner']"
Italian Shawarma,Kerak,66,"['Shawarma & Doner', 'Sandwiches ', 'Grills']"
Al Tazaj,Sowayma,75,"['Grills', 'Seafood', 'Fried Chicken']"
Jeddo Qasim Restaurant,Ajloun,33,['Shawarma & Doner']
Jawharit Mo3ajanat Armenia,Umm al Kundum,50,"['Arabic', 'Manaqeesh', 'Pastries']"
OZZY's sliders station ,Māḩiş,47,"['Burgers', 'Grills', 'American']"
Yamak Restaurants,Abū al Lasan,42,['Arabic']
Jwan & Ghala Chicken,Madaba,80,"['Fried Chicken', 'Grills', 'Sandwiches ']"
Atyaf Al Madeeneh Pastries,Umm Qays,25,"['Pastries', 'Jordanian']"
matbakh Al Asmar,Shūnat Nimrīn,55,['Arabic']
Raye7 Jay,Amman,52,['Juices']
Fakharet Al Sultan,Al Maşţabah,75,"['Arabic', 'Grills']"
LIT,Jerash,14,['Sandwiches ']
Stacoza restaurant,Az Zarqa,11,['Seafood']
Al Sahel Al Akhdar Sweets,Irbid,92,"['Arabic', 'Desserts']"
Shawermeno's,Umm al Kundum,61,"['Shawarma & Doner', 'Jordanian', 'Grills']"
Mirath Poultry,Al Khuraybah,60,"['Speciality Store', 'Fresh Meat & Fish']"
Samara Dates,Aqaba,38,"['Speciality Store', 'Nuts & Dried Fruit']"
Tamryet Hamzeh,Māḩiş,12,['Desserts']
Alsonbolah Sweet ( Dar Al Uloom ),Al Azraq ash Shamālī,88,['Desserts']
Grillo,Jerash,43,"['Sandwiches ', 'Shawarma & Doner']"
Maas Coffee House,‘Ayn Amūn,42,"['Juices', 'Beverages']"
Golden House,Ajloun,46,"['Arabic', 'Grills', 'Sandwiches ']"
Casereccio,Umm Qays,100,"['Italian', 'Pasta', 'Pizza']"
Tre Pazzi Pizzeria,Umm Qays,61,"['Pizza', 'Salads', 'Italian']"
Sizzling Wox,Al Maşţabah,98,"['Chinese', 'Sushi']"
The Time Burgers,Amman,73,['Burgers']
Bowl's Up,Aţ Ţayyibah,24,['Arabic']
Shamshoun Broasted,Al Qasţal,10,"['Fried Chicken', 'Snacks', 'Fast Food']"
Paella King,Ash Shūnah ash Shamālīyah,91,"['Seafood', 'Vegetarian', 'International']"
Al Baik mobile Telecom,Aţ Ţayyibah,63,['Speciality Store']
Naeem Falafel,Bayyūḑah,38,"['Breakfast', 'Falafel']"
Khairat Al Haramen,Wadi Musa,10,"['Burgers', 'Grills', 'Sandwiches ']"
AL Sheikh Quick Fried Chicken Restaurant,Ţāb Kirā‘,50,"['American', 'Fast Food', 'Fried Chicken']"
Alshaikh Durrah Market,Ash Shumaysānī,17,"['Grocery ', 'Supermarket']"
Al Basha Restaurant,Abū al Lasan,64,"['Arabic', 'Shawarma & Doner']"
Ajban Haneen,Ad Dimnah,93,['Speciality Store']
Raheeq Online kitchen,Al Azraq ash Shamālī,78,"['Arabic', 'Turkish', 'Jordanian']"
The Delights Shop for Dates & Chocolate,Madaba,30,['Nuts & Dried Fruit']
Yalla Waffle,Ma‘ān,33,['Crepes and Waffles']
Future Supermarket,Sowayma,100,"['Grocery ', 'Supermarket']"
Make Your Own Burger,Abū al Lasan,26,"['Burgers', 'International', 'Jordanian']"
Tomami,Ţāb Kirā‘,49,"['Asian', 'Sushi']"
Chief Sondos,Al Qasţal,99,['Desserts']
Fire Burger One,Wadi Musa,16,"['Burgers', 'Arabic']"
Mela Sweets,Al Quwayrah,57,"['Desserts', 'Arabic']"
Jordan Paramedic Society,Wadi Musa,86,['Speciality Store']
Modern Aalia Resturant,"Abdoun, Amman",46,"['Arabic', 'Breakfast', 'Falafel']"
Abu AL Saeed Grills,‘Ayn Amūn,39,"['Arabic', 'Grills', 'Jordanian']"
Hisas Online,Wadi Rum,52,['Speciality Store']
Samers Oven,Ma‘ān,33,"['Arabic', 'Pizza']"
Baba,Kerak,75,['Arabic']
Vanilla Kitchen ,‘Ayn Amūn,26,"['Arabic', 'Desserts', 'Pastries']"
Chinese Town,"Abdoun, Amman",48,['Chinese']
Patty Kitchen,Al Ḩayy,20,"['International', 'Salads', 'Desserts']"
Nassar Grill,Umm Qays,94,['Grills']
100 Yummies,Ma‘ān,10,['Desserts']
Snack N' Shake,Aţ Ţayyibah,74,"['American', 'Burgers', 'Sandwiches ']"
Ayham Online,Dana,62,"['Grocery ', 'Convenience Store']"
Promise Sushi,Wadi Rum,48,"['Seafood', 'Sushi']"
That Coffee Place,Kufayrāt Abū Khīnan,85,"['Beverages', 'Juices']"
Tim's Burger,Irbid,47,"['American', 'Burgers', 'Sandwiches ']"
 Alban Alkhaled Alzawahreh,Ad Dimnah,77,['Speciality Store']
Omar Shawerma,Sowayma,56,"['Arabic', 'Shawarma & Doner', 'Sandwiches ']"
Zalatimo Sweets,Bayyūḑah,80,['Desserts']
Abu Hanieh Roastery,"Abdoun, Amman",80,"['Speciality Store', 'Nuts & Dried Fruit']"
Salwan chicken tekka,Az Zarqa,68,['Grills']
Ola Kitchen,Aqaba,70,"['Arabic', 'Salads']"
VBurger,Al Khuraybah,53,"['American', 'Burgers']"
Trasimeno Coffee House,Umm Qays,95,"['Beverages', 'Salads', 'Cakes and Desserts']"
Flamingo Flowers & More,Ash Shumaysānī,57,['Flowers']
Chicken House,Madaba,58,"['Speciality Store', 'Fresh Meat & Fish']"
Nakhit Istanbul Restaurant,Bayyūḑah,33,"['Shawarma & Doner', 'Snacks', 'Fried Chicken']"
H Plus Mobile,Kerak,69,['Speciality Store']
Nashama Al Ordon Restaurant,Aqaba,81,"['Pizza', 'Sandwiches ', 'Arabic']"
AlAyham Kitchen,Dana,18,"['Arabic', 'International', 'Jordanian']"
Al Amaneh,Amman,52,"['Arabic', 'Breakfast', 'Sandwiches ']"
Tarah W Fukhara,Az Zarqa,96,"['Jordanian', 'Arabic', 'Breakfast', 'Desserts']"
Jawad restaurant,Ash Shumaysānī,58,"['Arabic', 'Breakfast']"
Kebdeh W Shata Spicy Chicken Liver,Kufayrāt Abū Khīnan,73,"['Jordanian', 'Arabic', 'Fast Food']"
Qamar Al Dahyeh Restaurant,Irbid,86,"['Falafel', 'Arabic', 'Breakfast']"
Alrawabi,Sowayma,54,['Arabic']
TOT Cocktail,Al Khuraybah,24,['Juices']
Pizza Sawa,Māḩiş,42,['Pizza']
Adel Hamada Restaurant,Ash Shumaysānī,52,"['Falafel', 'Sandwiches ', 'Arabic']"
Sugar OverDose,Irbid,46,"['Desserts', 'Beverages', 'Crepes and Waffles']"
Za’afaran Almahabeh restaurant (abu nsair),Madaba,84,"['Mandi', 'Shawarma & Doner', 'Snacks']"
Shawerma Al Shameyi,Dana,85,"['Shawarma & Doner', 'Snacks', 'Sandwiches ']"
Mix Juice,Sowayma,13,"['Crepes and Waffles', 'Desserts']"
SO Burger,Az Zarqa,67,"['Burgers', 'Sandwiches ', 'Jordanian']"
Kooman Abu Abdo,Bayyūḑah,21,"['Pastries', 'Pizza']"
Hussam Al-Riyati Grills,‘Ayn Amūn,90,['Grills']
The Gift Shop Flowers,Al Azraq ash Shamālī,92,['Flowers']
Anthurium Restaurant,Aţ Ţayyibah,41,"['Fast Food', 'Snacks', 'Sandwiches ', 'Jordanian', 'Arabic']"
Mr Saj,Umm Uthainah,52,['Shawarma & Doner']
Al Ghouta Pastries,Bayyūḑah,17,"['Bakery and Cakes', 'Pastries']"
AL-RABEE SUPERMARKET,Al Quwayrah,73,"['Grocery ', 'Supermarket']"
Salama Restaurant,Al Rama,16,"['Shawarma & Doner', 'Fried Chicken']"
Anwar Meeca Bakery,Irbid,53,['Bakery and Cakes']
Nour Al Arab Restaurant,Jerash,50,"['Pastries', 'Jordanian']"
Abu Saadi Restaurant,Ţāb Kirā‘,16,"['Shawarma & Doner', 'Arabic', 'Fried Chicken']"
Fotor & Asha,Abū al Lasan,24,"['Breakfast', 'Sandwiches ']"
Locaffy Coffee House,Al Khuraybah,14,"['American', 'Desserts']"
Shawerma Teseen,Wadi Rum,65,"['Fast Food', 'Shawarma & Doner']"
Moon Time Snack,Al Khuraybah,39,"['Fast Food', 'Salads', 'Sandwiches ']"
Bait Al Asala Pastries,Az Zarqa,73,"['Pastries', 'Pizza']"
Cocktail Alshamal,Al Quwayrah,72,"['Juices', 'Desserts']"
Dessert Time,Wadi Musa,52,['Desserts']
Bawabet Al Salt,Amman,38,"['Grills', 'Jordanian', 'Arabic']"
BON FIRE GRILL,Wadi Musa,61,"['Burgers', 'Salads', 'Shawarma & Doner']"
Candylees,Amman,73,['Desserts']
Aljoude Hotel,Al Rama,86,"['International', 'Italian', 'Pizza']"
Coffee Bean,Al Rama,81,"['American', 'Desserts']"
Jannat Al Sham Cocktail,Kufayrāt Abū Khīnan,74,['Juices']
Terra Flora,Sowayma,34,['Flowers']
Um Ali Sweets,Al Maşţabah,40,"['Desserts', 'Jordanian']"
My Zenger,Sowayma,44,"['Grills', 'Arabic']"
Alsonbolah Sweet (Al Hay Alsharqy),Al Khuraybah,23,['Desserts']
Xian,Ash Shumaysānī,20,"['Asian', 'Chinese', 'Japanese']"
Falafel Abu Zaid,Al Kafrayn,92,"['Falafel', 'Sandwiches ']"
REN CHAI,Ţāb Kirā‘,54,['Chinese']
Donia Cake,Ash Shumaysānī,99,"['Desserts', 'International', 'Jordanian']"
Sprink,Irbid,32,['Desserts']
Pizza w Moajanat Aldwaghreh,Al Qasţal,35,['Pastries']
Al Madina Butchery,Al Azraq ash Shamālī,18,"['Speciality Store', 'Fresh Meat & Fish']"
Al Karaz,Dana,65,"['American', 'Snacks', 'Sandwiches ']"
Abu Ibrahim Restaurant,Amman,82,"['Falafel', 'Breakfast']"
Lafit Fan,Amman,35,"['Arabic', 'Breakfast', 'Pastries']"
Golden Knife,Al Burj,73,"['Sandwiches ', 'Burgers', 'Snacks']"
Falafel House,Wadi Musa,13,['Falafel']
BERGAMO,Umm Uthainah,93,"['Burgers', 'Shawarma & Doner', 'Sandwiches ']"
Matbakh Kubah &Tuboalah,Irbid,54,"['Arabic', 'Lebanese']"
KADO,Wadi Rum,97,['Speciality Store']
Kitchen 101,Aţ Ţayyibah,65,['Healthy']
Suzy's Pizza,Umm Qays,34,['Pizza']
Oishi,Abū al Lasan,39,"['Chinese', 'Japanese', 'Asian']"
AL Radwan Al Shamyah Sweets,Jerash,50,['Desserts']
Leaders Center,Madaba,75,['Speciality Store']
Mr. Burritos,Ajloun,88,"['Mexican', 'Burgers']"
Lumy,Al Khuraybah,24,"['Burgers', 'Snacks', 'Sandwiches ']"
Baron Hagop,Dana,100,"['Lebanese', 'Sandwiches ', 'Arabic']"
Hussain Gasmieh Alfawal,Al Azraq ash Shamālī,66,"['Arabic', 'Egyptian', 'Falafel']"
Mr Shawerma,Al Rama,74,"['Shawarma & Doner', 'Sandwiches ', 'Burgers']"
BAIT AL ZATAR MILLS,Al Qasţal,51,"['Speciality Store', 'Nuts & Dried Fruit']"
Meal Time,Al Quwayrah,80,"['Healthy', 'Salads', 'Sandwiches ']"
Abu Moath Restaurant,Abū al Lasan,74,"['Breakfast', 'Falafel', 'Fast Food']"
Golden Burger,Wadi Rum,97,"['Burgers', 'Fast Food', 'American']"
McDonald's,Māḩiş,85,"['American', 'Breakfast', 'Burgers']"
Kox Sweets & More,Ash Shumaysānī,50,"['Arabic', 'Desserts']"
House Of Kabab,Al Azraq ash Shamālī,80,"['Arabic', 'Grills']"
Al Ahlam Flowers,Al Rama,30,['Flowers']
Abu Odeh Aljamjoom,Al Rama,41,"['Breakfast', 'Fast Food', 'Sandwiches ']"
Mano Doner,At-Tafilah,18,"['Shawarma & Doner', 'Sandwiches ']"
Alrawabi,Ad Dimnah,86,['Arabic']
Shekh El Manqushe Sweet,Kerak,71,"['Desserts', 'Arabic']"
Ard AlFakhar,Aqaba,94,['Arabic']
Hakuna Batata,Ash Shūnah ash Shamālīyah,58,"['Sandwiches ', 'Healthy']"
Pizza N Pie,Al Rama,80,"['Italian', 'Pizza', 'Sandwiches ', 'Calzone']"
Abu Arab Futchery,Wadi Rum,20,"['Speciality Store', 'Fresh Meat & Fish']"
Al-Hasnaa Lamees,Ajloun,37,"['Burgers', 'Fast Food', 'Shawarma & Doner']"
Abu Seir Sweets,Jerash,100,"['Arabic', 'Desserts', 'Jordanian']"
Faheem Sweets,Ash Shūnah ash Shamālīyah,75,['Desserts']
Sababa Snack,Al Burj,79,"['Snacks', 'Sandwiches ', 'Burgers']"
BABA Shawerma,Aqaba,60,"['Shawarma & Doner', 'Sandwiches ', 'Burgers']"
Alkit & Alkat,Al Azraq ash Shamālī,26,['Desserts']
Basic Coffee,Al Rama,43,['Desserts']
EAT Mix,Ma‘ān,94,"['International', 'Italian', 'Arabic', 'Asian']"
Moajnat Feras,Ad Dimnah,67,"['Pastries', 'Breakfast']"
Mataam O Mashawi Arabeyat,Kerak,49,"['Fried Chicken', 'Shawarma & Doner', 'Snacks']"
Qasmieh Al Fawal,Al Burj,20,"['Breakfast', 'Falafel', 'Snacks']"
Happy Burger,Al Azraq ash Shamālī,24,"['Burgers', 'Hot Dogs', 'Sandwiches ']"
Sama Al Sabe3,Al Ḩayy,72,['Arabic']
Fruit & Nuts,Ţāb Kirā‘,32,"['Beverages', 'Juices', 'Desserts']"
Izhiman Premier,Shūnat Nimrīn,12,"['Speciality Store', 'Nuts & Dried Fruit']"
Ward O Masa Sweets,Al Qasţal,89,"['Desserts', 'Egyptian', 'Arabic']"
Sarmad,Irbid,45,['Arabic']
Asli,Umm Uthainah,18,"['Juices', 'Beverages']"
Al Rafati Restaurant,Ad Dimnah,62,"['Breakfast', 'Falafel', 'Jordanian']"
Alsonbolah Bakery ( Dar Al Uloom ),Al Quwayrah,45,"['Speciality Store', 'Bread & Bakery']"
Khayt Dahab Restaurant,Al Khuraybah,57,"['Desserts', 'Grills', 'Sandwiches ']"
Ajban Haneen,Wadi Rum,61,['Speciality Store']
Wild Jordan Center,Amman,68,['International']
Waffle Bubble,Ad Dimnah,98,['Desserts']
Mawwal,Kerak,26,"['Arabic', 'Grills', 'Lebanese']"
Bon Fakhruddin,Ajloun,85,"['Speciality Store', 'Coffee & Tea']"
Elite Pastries ( Al Huson Street ),"Abdoun, Amman",58,"['Arabic', 'Pastries', 'Pizza']"
AWS mobile & computer,Aţ Ţayyibah,71,['Speciality Store']
Al Kalha,Dana,34,"['Falafel', 'Sandwiches ', 'Arabic']"
Omar Shawerma,Kufayrāt Abū Khīnan,35,"['Arabic', 'Shawarma & Doner', 'Sandwiches ']"
Soft Crepe & Waffle,Madaba,37,"['Crepes and Waffles', 'Desserts', 'Ice Cream', 'Frozen Yogurt ', 'Beverages', 'Candy', 'Juices']"
Waffle Land,Al Kafrayn,50,['Crepes and Waffles']
AlHajawi Market,Al Quwayrah,89,"['Grocery ', 'Supermarket']"
Golden Meat Butchery,At-Tafilah,30,"['Speciality Store', 'Fresh Meat & Fish']"
Fatteh W Mansaf Lal Aklat Alturatheyeh,Al Quwayrah,85,['Arabic']
Koshari Al Helow,Al Rama,96,"['Arabic', 'Egyptian']"
ALMATHAQ MANDI,Sowayma,88,"['Mandi', 'Arabic', 'Yemeni']"
Starry Tart,Sowayma,40,['Desserts']
